Event	ID	Name			Wwise Object Path	Notes
	3827868	Stop_sfx_freddy_servo_small			\Default Work Unit\Character\Freddy\Stop_sfx_freddy_servo_small	
	51091922	Stop_sfx_sunman_mech_head_spin			\Default Work Unit\Character\SunMoonMan\Stop_sfx_sunman_mech_head_spin	
	56733361	Stop_sfx_sunman_mech_lp			\Default Work Unit\Character\SunMoonMan\Stop_sfx_sunman_mech_lp	
	66158768	Play_SFX_Footstep_Animatronic			\Default Work Unit\Character\Play_SFX_Footstep_Animatronic	
	92490644	Play_sfx_djmm_arcadeCabinet_whoosh			\Default Work Unit\Character\DJMM\Play_sfx_djmm_arcadeCabinet_whoosh	
	147834650	Play_sfx_moonman_mech_mvmt_large			\Default Work Unit\Character\SunMoonMan\Play_sfx_moonman_mech_mvmt_large	
	220707076	Play_sfx_monty_glassBonk_large			\Default Work Unit\Character\Monty\Play_sfx_monty_glassBonk_large	
	232596783	Stop_sfx_moonman_mech_head_spin			\Default Work Unit\Character\SunMoonMan\Stop_sfx_moonman_mech_head_spin	
	299780608	Play_Vanny_StaticBuzz			\Default Work Unit\Character\Play_Vanny_StaticBuzz	
	310336956	Play_fly_lmm_teeth_chomp_transient			\Default Work Unit\Character\LittleMusicMan\Play_fly_lmm_teeth_chomp_transient	
	346841302	Stop_vanessa_footsteps_hour1_intro			\Default Work Unit\Character\Vanessa\Stop_vanessa_footsteps_hour1_intro	
	384768553	Play_SFX_Footsteps_SunMan_cine_plastic			\Default Work Unit\Character\SunMoonMan\Play_SFX_Footsteps_SunMan_cine_plastic	
	402707824	Stop_sfx_lmm_servo			\Default Work Unit\Character\LittleMusicMan\Stop_sfx_lmm_servo	
	433961982	Play_sfx_chica_servo			\Default Work Unit\Character\Chica\Play_sfx_chica_servo	
	514571461	Play_sfx_general_roomItems_destruction_backstage			\Default Work Unit\Play_sfx_general_roomItems_destruction_backstage	
	520811949	Stop_sfx_monty_servo			\Default Work Unit\Character\Monty\Stop_sfx_monty_servo	
	558521807	Play_Gregory_Hiding_Locker_OUT			\Default Work Unit\General\HidingSpots\Play_Gregory_Hiding_Locker_OUT	
	558941789	Play_SFX_Locomotion_Bots_StartLoop			\Default Work Unit\Character\Play_SFX_Locomotion_Bots_StartLoop	
	572526909	Play_Vanny_MusicBox_01			\Default Work Unit\Character\Play_Vanny_MusicBox_01	
	627405340	Play_sfx_djmm_arcadeCabinet_impact			\Default Work Unit\Character\DJMM\Play_sfx_djmm_arcadeCabinet_impact	
	632959404	Play_SFX_Articulation_Bots_Arm_Stop			\Default Work Unit\Character\Play_SFX_Articulation_Bots_Arm_Stop	
	636991392	Stop_sfx_freddy_servo			\Default Work Unit\Character\Freddy\Stop_sfx_freddy_servo	
	643166499	Play_vanessa_footsteps_hour1_firstaid_depart			\Default Work Unit\Hours\Hour1\Play_vanessa_footsteps_hour1_firstaid_depart	
	651876438	Stop_sfx_roxy_servo			\Default Work Unit\Character\Roxy\Stop_sfx_roxy_servo	
	652335960	Play_sfx_sunman_mech_head_spin			\Default Work Unit\Character\SunMoonMan\Play_sfx_sunman_mech_head_spin	
	693164374	Play_sfx_montyClaws_fence_impact			\Default Work Unit\Character\Freddy\Play_sfx_montyClaws_fence_impact	
	732742704	Play_sfx_gregory_crouch			\Default Work Unit\Character\Gregory\Play_sfx_gregory_crouch	
	779355615	Stop_sfx_chica_servo_short			\Default Work Unit\Character\Chica\Stop_sfx_chica_servo_short	
	783454282	Play_SFX_Articulation_Bots_Arm_StartLoop			\Default Work Unit\Character\Play_SFX_Articulation_Bots_Arm_StartLoop	
	825333901	Play_automation_vanessa_footsteps_intro_passby			\Default Work Unit\Hours\Hour1\Play_automation_vanessa_footsteps_intro_passby	
	879164547	Play_sfx_djmm_servo_arcade_toss			\Default Work Unit\Character\DJMM\Play_sfx_djmm_servo_arcade_toss	
	890383121	Play_sfx_moonman_mech_spring_wronk			\Default Work Unit\Character\SunMoonMan\Play_sfx_moonman_mech_spring_wronk	
	922994488	Play_sfx_djmm_pneumatic_pressureRelease			\Default Work Unit\Character\DJMM\Play_sfx_djmm_pneumatic_pressureRelease	
	932076318	Play_Vanny_Chase_Stinger			\Default Work Unit\Character\Play_Vanny_Chase_Stinger	
	966290364	Play_sfx_lmm_servo_struggle			\Default Work Unit\Character\LittleMusicMan\Play_sfx_lmm_servo_struggle	
