Event	ID	Name			Wwise Object Path	Notes
	6308248	Play_sfx_gatorGolf_gatorHead_Jumpscare			\Default Work Unit\Hours\Hour6\Play_sfx_gatorGolf_gatorHead_Jumpscare	
	18074098	Play_sfx_cine_trap_tension			\Default Work Unit\Hours\Hour3\Play_sfx_cine_trap_tension	
	18879345	Stop_sfx_backstageOffice_screen_glitchFreddy_lp			\Default Work Unit\Hours\Hour4\Stop_sfx_backstageOffice_screen_glitchFreddy_lp	
	33608376	Play_sfx_kitchenOffice_sauce_complete			\Default Work Unit\Hours\Hour3\Play_sfx_kitchenOffice_sauce_complete	
	35505175	Play_Vent_Grate_PopOpen			\Default Work Unit\General\Play_Vent_Grate_PopOpen	
	47231092	Stop_All_Dialogue_Actor			\Default Work Unit\General\_Utility\Stop_All_Dialogue_Actor	
	52170409	Play_sfx_bot_status_stunned_lp			\Default Work Unit\General\Play_sfx_bot_status_stunned_lp	
	64662015	Stop_sfx_fazerblast_defend_timer_5sec_lp			\Default Work Unit\Hours\Hour6\Stop_sfx_fazerblast_defend_timer_5sec_lp	
	67932574	Play_Gregory_Flashlight_Off			\Default Work Unit\General\Play_Gregory_Flashlight_Off	
	91136353	Play_sfx_staffBot_mop_swipe			\Default Work Unit\Character\Staffbot\Play_sfx_staffBot_mop_swipe	
	93785669	Play_sfx_elevator_arch_bulbs_on_lp			\Default Work Unit\General\Doors\Play_sfx_elevator_arch_bulbs_on_lp	
	98651765	Play_sfx_fazwatch_screen_static_lp			\Default Work Unit\General\Fazwatch\Play_sfx_fazwatch_screen_static_lp	
	118426684	Play_sfx_dynObj_noisemaker_topple			\Default Work Unit\General\DynObj\Play_sfx_dynObj_noisemaker_topple	
	162381846	Play_sfx_prizeCounter_timer_complete			\Default Work Unit\Hours\Hour3\Play_sfx_prizeCounter_timer_complete	
	171037504	Play_sfx_upgradeMachine_screen_glitch			\Default Work Unit\Hours\Hour2\Play_sfx_upgradeMachine_screen_glitch	
